2023/05/17 14:01:59.908 [AWT-EventQueue-0] DEBUG  Log4J2 ValidatorUtil#inputDirectoryCheck() 入力ディレクトリパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter
2023/05/17 14:01:59.912 [AWT-EventQueue-0] DEBUG  Log4J2 ValidatorUtil#outputFileCheck() 出力ファイルパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/var/output/result.csv
2023/05/17 14:01:59.912 [AWT-EventQueue-0] INFO   Log4J2 StepCounterGuiMainServiceImpl#execStepCount() ------------------------------------------------------------------
2023/05/17 14:01:59.912 [AWT-EventQueue-0] INFO   Log4J2 StepCounterGuiMainServiceImpl#execStepCount() -- START StepCount -----------------------------------------------
2023/05/17 14:01:59.913 [AWT-EventQueue-0] INFO   Log4J2 StepCounterGuiMainServiceImpl#execStepCount() ------------------------------------------------------------------
2023/05/17 14:01:59.917 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：.DS_Store
2023/05/17 14:01:59.917 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：.DS_Store
2023/05/17 14:01:59.918 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：.DS_Store
2023/05/17 14:01:59.918 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：.DS_Store
2023/05/17 14:01:59.919 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：.DS_Store
2023/05/17 14:01:59.919 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestStepCounterConstant.class
2023/05/17 14:01:59.919 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestEnumReverseLookup.class
2023/05/17 14:01:59.920 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestSystemConstant.class
2023/05/17 14:01:59.920 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestStepCounterCuiService.class
2023/05/17 14:01:59.920 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestStepCounterGuiMainService.class
2023/05/17 14:01:59.921 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestStepCountCsvDao.class
2023/05/17 14:01:59.921 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestCsvDaoUtil.class
2023/05/17 14:01:59.921 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestLog4J2.class
2023/05/17 14:01:59.922 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestStepCountRepository.class
2023/05/17 14:01:59.922 [AWT-EventQueue-0] WARN   Log4J2 StepCountExecutor#execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：TestAllFilesStepCountData.class
